hour,size
1,42.2
2,84.4
3,67.1
5,51.8
6,71.6
7,189.9
8,51.8
9,63.3
10,97.8
11,74.8
12,72.7
13,71.9
14,25.9
15,82.7
16,57.5
17,51.8
18,72.9
19,63.3
20,23
21,48.3
22,57.5
23,40.3
